State,forward,right,left,None
tl:red_o:forward_r:right_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:right_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:right_l:None_dd:forward,0,0,0,0
tl:red_o:forward_r:right_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:None_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:None_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:forward_dd:forward,0,0,0,0
tl:red_o:forward_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:right_dd:forward,-0.5,0,0,0
tl:red_o:forward_r:None_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:None_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:None_dd:forward,-0.59076,-0.22159,-0.64587,0
tl:red_o:forward_r:None_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:None_dd:left,-0.5,-0.14000,0,0.0
tl:red_o:right_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:right_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:right_r:forward_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:right_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:right_dd:right,0,0,0,0
tl:red_o:right_r:right_l:right_dd:left,0,0,0,0
tl:red_o:right_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:left_dd:right,0,0,0,0
tl:red_o:right_r:right_l:left_dd:left,0,0,0,0
tl:red_o:right_r:right_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:None_dd:right,0,0,0,0
tl:red_o:right_r:right_l:None_dd:left,0,0,0,0
tl:red_o:right_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:right_dd:right,0,0,0,0
tl:red_o:right_r:left_l:right_dd:left,0,0,0,0
tl:red_o:right_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:left_dd:right,0,0,0,0
tl:red_o:right_r:left_l:left_dd:left,0,0,0,0
tl:red_o:right_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:None_dd:right,0,0,0,0
tl:red_o:right_r:left_l:None_dd:left,0,0,0,0
tl:red_o:right_r:None_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:None_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:right_dd:right,0,0,0,0
tl:red_o:right_r:None_l:right_dd:left,0,0,0,0
tl:red_o:right_r:None_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:left_dd:right,0,0,0,0
tl:red_o:right_r:None_l:left_dd:left,0,0,0,0
tl:red_o:right_r:None_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:None_dd:right,0,0,0,0.109954
tl:red_o:right_r:None_l:None_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:None_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:left_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:right_dd:right,0,0,0,0
tl:red_o:left_r:right_l:right_dd:left,0,0,0,0
tl:red_o:left_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:left_dd:right,0,0,0,0
tl:red_o:left_r:right_l:left_dd:left,0,0,0,0
tl:red_o:left_r:right_l:None_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:None_dd:right,0,0,0,0
tl:red_o:left_r:right_l:None_dd:left,0,0,0,0
tl:red_o:left_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:right_dd:right,0,0,0,0
tl:red_o:left_r:left_l:right_dd:left,0,0,0,0
tl:red_o:left_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:left_dd:right,0,0,0,0
tl:red_o:left_r:left_l:left_dd:left,0,0,0,0
tl:red_o:left_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:None_dd:right,0,0,0,0
tl:red_o:left_r:left_l:None_dd:left,0,0,0,0
tl:red_o:left_r:None_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:None_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:None_l:right_dd:right,0,0,0,0
tl:red_o:left_r:None_l:right_dd:left,0,0,0,0
tl:red_o:left_r:None_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:None_l:left_dd:right,0,0,0,0
tl:red_o:left_r:None_l:left_dd:left,0,0,0,0
tl:red_o:left_r:None_l:None_dd:forward,-0.66946,-0.24408,-0.75,0
tl:red_o:left_r:None_l:None_dd:right,-0.5,0,-0.5,0.0
tl:red_o:left_r:None_l:None_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:None_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:None_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:None_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:None_dd:forward,0,0,-0.49962,0
tl:red_o:None_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:None_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:None_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:None_r:right_l:right_dd:right,0,0,0,0
tl:red_o:None_r:right_l:right_dd:left,0,0,0,0
tl:red_o:None_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:None_r:right_l:left_dd:right,0,0,0,0
tl:red_o:None_r:right_l:left_dd:left,0,0,0,0
tl:red_o:None_r:right_l:None_dd:forward,0,-0.14455,0,0
tl:red_o:None_r:right_l:None_dd:right,0,0,0,0
tl:red_o:None_r:right_l:None_dd:left,0,0,0,0
tl:red_o:None_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:right_dd:right,0,0,0,0
tl:red_o:None_r:left_l:right_dd:left,0,0,0,0
tl:red_o:None_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:left_dd:right,0,0,0,0
tl:red_o:None_r:left_l:left_dd:left,0,0,0,0
tl:red_o:None_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:None_dd:right,0,0,0,0
tl:red_o:None_r:left_l:None_dd:left,-0.5,0,0,0
tl:red_o:None_r:None_l:forward_dd:forward,-0.49837,0,0,0
tl:red_o:None_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:None_l:right_dd:forward,0,0,-0.49939,0
tl:red_o:None_r:None_l:right_dd:right,0,0,0,0
tl:red_o:None_r:None_l:right_dd:left,0,0,0,0
tl:red_o:None_r:None_l:left_dd:forward,0,0,0,0.002735
tl:red_o:None_r:None_l:left_dd:right,0,0,0,0
tl:red_o:None_r:None_l:left_dd:left,0,0,0,0
tl:red_o:None_r:None_l:None_dd:forward,-0.87229,-0.43206,-0.87346,0.064666
tl:red_o:None_r:None_l:None_dd:right,-0.75706,2.150792,-0.85829,0.161310
tl:red_o:None_r:None_l:None_dd:left,-0.75,-0.28937,-0.75,0.117437
